# Data printout from CCMC-simulation: version 1D-1.3
# Data type:  SWMF  Magnetosphere
# Run name:   Espen_Fredrick_032124_2
# Missing data:  -1.09951e+12
# year mo dy hr mn sc msc Kp K_12 K_13 K_14 K_15 K_16 K_17 K_18 K_19 K_20 K_21 K_22 K_23 K_00 K_01 K_02 K_03 K_04 K_05 K_06 K_07 K_08 K_09 K_10 K_11 AL AU AE AO 
# [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] 
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  2.00000E+01  0.00000E+00  0.00000E+00  1.00000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -3.13000E+00  6.18600E+01  6.49800E+01  2.93700E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  2.10000E+01  0.00000E+00  0.00000E+00  1.00000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -3.28000E+00  6.51400E+01  6.84200E+01  3.09300E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  2.20000E+01  0.00000E+00  0.00000E+00  1.00000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -3.39000E+00  7.06500E+01  7.40300E+01  3.36300E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  2.30000E+01  0.00000E+00  0.00000E+00  1.00000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -3.48000E+00  6.64400E+01  6.99200E+01  3.14800E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  2.40000E+01  0.00000E+00  0.00000E+00  1.00000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -3.84000E+00  6.49600E+01  6.88000E+01  3.05600E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  2.50000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -4.21000E+00  6.30700E+01  6.72800E+01  2.94300E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  2.60000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -4.55000E+00  6.25700E+01  6.71200E+01  2.90100E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  2.70000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -4.65000E+00  6.43400E+01  6.90000E+01  2.98500E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  2.80000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -4.35000E+00  6.66100E+01  7.09600E+01  3.11300E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  2.90000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -4.21000E+00  6.80500E+01  7.22500E+01  3.19200E+01
